                 X [m]	                 Y [m]	c [MN/m³]
24.65	6.59	6.344358676
24.65	6.59	6.344358676
24.65	6.59	6.344358676
31.33	9.12	6.406967668
31.33	9.12	6.406967668
31.33	9.12	6.406967668
31.33	9.12	6.406967668
31.33	9.12	6.406967668
31.33	9.12	6.406967668
28.35	7.31	6.426098944
28.35	7.31	6.426098944
28.35	7.31	6.426098944
28.35	7.31	6.426098944
28.35	7.31	6.426098944
28.35	7.31	6.426098944
50.21	16.9	4.662048488
50.21	16.9	4.662048488
50.21	16.9	4.662048488
50.21	16.9	4.662048488
50.21	16.9	4.662048488
50.21	16.9	4.662048488
50.21	16.9	4.662048488
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	16.9	3.903247775
61.37	15.39	5.758256935
61.37	15.39	5.758256935
61.37	15.39	5.758256935
61.37	15.39	5.758256935
61.37	15.39	5.758256935
61.37	15.39	5.758256935
62.08	15.39	5.698594007
62.08	15.39	5.698594007
62.08	15.39	5.698594007
62.08	15.39	5.698594007
62.08	15.39	5.698594007
62.08	15.39	5.698594007
63.08	15.39	5.16454079
63.08	15.39	5.16454079
63.08	15.39	5.16454079
63.08	15.39	5.16454079
63.08	15.39	5.16454079
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.33	15.39	5.173930636
63.58	15.39	4.710933964
63.58	15.39	4.710933964
63.58	15.39	4.710933964
63.58	15.39	4.710933964
63.58	15.39	4.710933964
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.16436725	1.389072043
63.33	18.17	1.379793471
63.33	18.17	1.379793471
63.33	18.17	1.379793471
76.39	17.37	1.927388015
76.39	17.37	1.927388015
76.39	17.37	1.927388015
76.39	17.37	1.927388015
76.39	17.37	1.927388015
76.39	17.37	1.927388015
41.7	19.48	2.025086838
41.7	19.48	2.025086838
41.7	19.48	2.025086838
41.7	19.48	2.025086838
41.7	19.48	2.025086838
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
76.38	17.2	2.542815921
29.61	31.56	1.878247629
29.61	31.56	1.878247629
29.61	31.56	1.878247629
29.61	31.56	1.878247629
29.61	31.56	1.878247629
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
77.65	17.13597808	2.404763982
29.4	31.35	2.171501618
29.4	31.35	2.171501618
29.4	31.35	2.171501618
29.4	31.35	2.171501618
29.4	31.35	2.171501618
29.4	31.35	2.171501618
29.4	31.35	2.171501618
77.65	16.78	2.712797532
77.65	16.78	2.712797532
77.65	16.78	2.712797532
77.65	16.78	2.712797532
77.65	16.78	2.712797532
77.65	17.14	2.396659839
77.65	17.14	2.396659839
77.65	17.14	2.396659839
77.65	17.14	2.396659839
77.65	17.14	2.396659839
101.66	15.92561096	2.050800168
101.66	15.92561096	2.050800168
101.66	15.92561096	2.050800168
101.66	15.92561096	2.050800168
101.66	15.92561096	2.050800168
101.66	15.92561096	2.050800168
11.74	49.0165359	2.08295473
11.74	49.0165359	2.08295473
11.74	49.0165359	2.08295473
11.74	49.0165359	2.08295473
11.74	49.0165359	2.08295473
11.74	49.0165359	2.08295473
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	10.71	6.81399306
101.66	15.93	2.648695202
101.66	15.93	2.648695202
101.66	15.93	2.648695202
101.66	15.93	2.648695202
101.66	15.93	2.648695202
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
107.39	15.63675616	2.336385538
11.74	40.41	7.099753994
11.74	40.41	7.099753994
11.74	40.41	7.099753994
11.74	40.41	7.099753994
11.74	40.41	7.099753994
11.74	40.41	7.099753994
11.74	49.03	2.068203377
11.74	49.03	2.068203377
11.74	49.03	2.068203377
11.74	49.03	2.068203377
11.74	49.03	2.068203377
2.38	58.38	2.131797943
2.38	58.38	2.131797943
2.38	58.38	2.131797943
2.38	58.38	2.131797943
2.38	58.38	2.131797943
2.38	58.38	2.131797943
107.39	15.64	2.332828807
107.39	15.64	2.332828807
107.39	15.64	2.332828807
107.39	15.64	2.332828807
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
107.39	11.56	5.535892578
112.88	15.36	1.25059923
112.88	15.36	1.25059923
112.88	15.36	1.25059923
112.88	15.36	1.25059923
112.88	15.36	1.25059923
112.88	15.36	1.25059923
-0.22	58.38	6.943658543
-0.22	58.38	6.943658543
-0.22	58.38	6.943658543
-0.22	58.38	6.943658543
-0.22	58.38	6.943658543
-0.22	58.38	6.943658543
108.7	11.56	4.778068789
108.7	11.56	4.778068789
